Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-05-09
PL 106-553,New Position,2000-12-21,"Hudson, Henry E.",2002-01-23,VA-E,Fourth Circuit,2002-05-09
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-05-09
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-05-09
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-05-09
"Kendall, Joe",Resigned,2002-01-22,,,TX-N,Fifth Circuit,2002-05-09
"Maloney, Robert B.",Senior,2000-08-31,"Godbey, David C.",2002-01-23,TX-N,Fifth Circuit,2002-05-09
"Brown, Paul",Senior,2001-04-01,"Davis, Leonard E.",2002-01-23,TX-E,Fifth Circuit,2002-05-09
"Cobb, Howell",Senior,2001-03-01,"Clark, Ronald H.",2002-01-23,TX-E,Fifth Circuit,2002-05-09
"Vela, Filemon",Senior,2000-05-01,"Hanen, Andrew S.",2002-01-23,TX-S,Fifth Circuit,2002-05-09
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-05-09
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-05-09
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-05-09
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-05-09
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-05-09
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-05-09
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-05-09
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-05-09
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-05-09
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-05-09
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-05-09
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-05-09
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-05-09
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-05-09
"Weber, Herman J.",Senior,2002-01-01,"Rose, Thomas M.",2002-01-23,OH-S,Sixth Circuit,2002-05-09
"Jarvis, James H.",Senior,2002-02-28,,,TN-E,Sixth Circuit,2002-05-09
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-05-09
"Turner, Jerome",Deceased,2000-02-12,"Mays, Samuel H. Jr",2002-01-23,TN-W,Sixth Circuit,2002-05-09
"Lindberg, George W.",Senior,2001-06-21,"St. Eve, Amy J.",2002-03-21,IL-N,Seventh Circuit,2002-05-09
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-05-09
"Melloy, Michael J.",Elevated,2002-02-11,,,IA-N,Eighth Circuit,2002-05-09
"Gunn, George F. Jr.",Senior,1996-12-01,"Autrey, Henry E.",2002-03-21,MO-E,Eighth Circuit,2002-05-09
"Bartlett, D. Brook",Deceased,2000-01-21,"Dorr, Richard E.",2002-03-21,MO-W,Eighth Circuit,2002-05-09
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2002-05-09
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-05-09
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-05-09
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-05-09
"Hug, Proctor Jr.",Senior,2002-01-01,,,CCA,Ninth Circuit,2002-05-09
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-05-09
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2002-05-09
"Karlton, Lawrence K.",Senior,2000-05-27,"England, Morrison C. Jr",2002-03-21,CA-E,Ninth Circuit,2002-05-09
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2002-05-09
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-05-09
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-05-09
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-05-09
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-05-09
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-05-09
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-05-09
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-05-09
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-05-09
"Sam, David",Senior,1999-11-01,"Cassell, Paul G",2001-09-04,UT,Tenth Circuit,2002-05-09
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-05-09
"De Ment, Ira",Senior,2002-04-15,,,AL-M,Eleventh Circuit,2002-05-09
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-05-09
PL 106-113,New Position,1999-11-29,,,FL-M,Eleventh Circuit,2002-05-09
"Davis, Edward",Senior,2000-07-01,"Martinez, Jose E.",2002-01-23,FL-S,Eleventh Circuit,2002-05-09
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-05-09
PL 106-553,New Position,2000-12-21,"Marra, Kenneth A.",2002-01-23,FL-S,Eleventh Circuit,2002-05-09
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-05-09
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-05-09
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-05-09
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-05-09
"Jackson, Thomas P",Senior,2002-01-31,,,DC,District of Columbia Circuit,2002-05-09
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-05-09
