Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Vela, Filemon",Senior,2000-05-01,"Hanen, Andrew S.",2002-01-23,TX-S,Fifth Circuit,2002-04-01
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-04-01
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-04-01
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-04-01
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-04-01
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-04-01
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-04-01
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-04-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-04-01
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-04-01
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-04-01
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-04-01
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-04-01
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-04-01
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-04-01
"Weber, Herman J.",Senior,2002-01-01,"Rose, Thomas M.",2002-01-23,OH-S,Sixth Circuit,2002-04-01
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-04-01
"Turner, Jerome",Deceased,2000-02-12,"Mays, Samuel H. Jr",2002-01-23,TN-W,Sixth Circuit,2002-04-01
"Lindberg, George W.",Senior,2001-06-21,"St. Eve, Amy J.",2002-03-21,IL-N,Seventh Circuit,2002-04-01
PL 106-553,New Position,2000-12-21,"Greisbach, William C.",2002-01-23,WI-E,Seventh Circuit,2002-04-01
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-04-01
"Melloy, Michael J.",Elevated,2002-02-11,,,IA-N,Eighth Circuit,2002-04-01
"Magnuson, Paul A.",Senior,2002-02-09,"Lancaster, Joan E.",2002-01-23,MN,Eighth Circuit,2002-04-01
"Gunn, George F. Jr.",Senior,1996-12-01,"Autrey, Henry E.",2002-03-21,MO-E,Eighth Circuit,2002-04-01
"Bartlett, D. Brook",Deceased,2000-01-21,"Dorr, Richard E.",2002-03-21,MO-W,Eighth Circuit,2002-04-01
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2002-04-01
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-04-01
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-04-01
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-04-01
"Hug, Proctor Jr.",Senior,2002-01-01,,,CCA,Ninth Circuit,2002-04-01
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-04-01
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2002-04-01
"Karlton, Lawrence K.",Senior,2000-05-27,"England, Morrison C. Jr",2002-03-21,CA-E,Ninth Circuit,2002-04-01
"Davies, John G.",Retired,1998-07-18,"Walter, John F.",2002-01-23,CA-C,Ninth Circuit,2002-04-01
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2002-04-01
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-04-01
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-04-01
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-04-01
"Wardlaw, Kim McLane",Elevated,1998-07-31,"Anderson, Percy",2002-01-23,CA-C,Ninth Circuit,2002-04-01
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-04-01
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-04-01
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-04-01
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-04-01
"Brorby, Wade",Senior,2001-05-25,"O'Brien, Terrence L.",2001-09-04,CCA,Tenth Circuit,2002-04-01
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-04-01
"Sam, David",Senior,1999-11-01,"Cassell, Paul G",2001-09-04,UT,Tenth Circuit,2002-04-01
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-04-01
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-04-01
PL 106-113,New Position,1999-11-29,,,FL-M,Eleventh Circuit,2002-04-01
"Davis, Edward",Senior,2000-07-01,"Martinez, Jose E.",2002-01-23,FL-S,Eleventh Circuit,2002-04-01
"Highsmith, Shelby",Senior,2002-03-15,,,FL-S,Eleventh Circuit,2002-04-01
PL 106-553,New Position,2000-12-21,"Marra, Kenneth A.",2002-01-23,FL-S,Eleventh Circuit,2002-04-01
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-04-01
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-04-01
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-04-01
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-04-01
"Jackson, Thomas P",Senior,2002-01-31,,,DC,District of Columbia Circuit,2002-04-01
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-04-01
