Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-01-02
"Bryan, Robert J.",Senior,2000-11-01,,,WA-W,Ninth Circuit,2002-01-02
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-01-02
"Brorby, Wade",Senior,2001-05-25,"O'Brien, Terrence L.",2001-09-04,CCA,Tenth Circuit,2002-01-02
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-01-02
"Sparr, Daniel B.",Senior,2001-05-01,"Krieger, Marcia S.",2001-09-10,CO,Tenth Circuit,2002-01-02
"Weinshienk, Zita L.",Senior,1998-04-03,"Blackburn, Robert E.",2001-09-10,CO,Tenth Circuit,2002-01-02
"Sam, David",Senior,1999-11-01,"Cassell, Paul G",2001-09-04,UT,Tenth Circuit,2002-01-02
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-01-02
"Howard, Alex T. Jr.",Senior,1996-10-21,"Granade, Callie V.",2001-09-04,AL-S,Eleventh Circuit,2002-01-02
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-01-02
PL 106-113,New Position,1999-11-29,,,FL-M,Eleventh Circuit,2002-01-02
"Davis, Edward",Senior,2000-07-01,,,FL-S,Eleventh Circuit,2002-01-02
PL 106-553,New Position,2000-12-21,,,FL-S,Eleventh Circuit,2002-01-02
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-01-02
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-01-02
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-01-02
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-01-02
"Johnson, Norma H.",Senior,2001-06-18,"Leon, Richard J.",2001-09-10,DC,District of Columbia Circuit,2002-01-02
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-01-02
