Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
PL 106-553,New Position,2000-12-15,,,VA-E,Fourth Circuit,2001-12-07
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2001-12-07
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2001-12-07
"Clement, Edith Brown",Elevated,2001-11-13,,,LA-E,Fifth Circuit,2001-12-07
"McNamara, A.J.",Senior,2001-06-09,"Zainey, Jay C.",2001-10-10,LA-E,Fifth Circuit,2001-12-07
"Sear, Morey L.",Senior,2000-10-31,"Engelhardt, Kurt D.",2001-09-04,LA-E,Fifth Circuit,2001-12-07
"Maloney, Robert B.",Senior,2000-08-31,,,TX-N,Fifth Circuit,2001-12-07
"Brown, Paul",Senior,2001-04-01,,,TX-E,Fifth Circuit,2001-12-07
"Cobb, Howell",Senior,2001-03-01,,,TX-E,Fifth Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,"Crane, Randy",2001-09-21,TX-S,Fifth Circuit,2001-12-07
"Vela, Filemon",Senior,2000-05-01,,,TX-S,Fifth Circuit,2001-12-07
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,"Martinez, Philip R.",2001-10-09,TX-W,Fifth Circuit,2001-12-07
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2001-12-07
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2001-12-07
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2001-12-07
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2001-12-07
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2001-12-07
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2001-12-07
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2001-12-07
"Bertelsman, William O.",Senior,2001-02-01,"Bunning, David L.",2001-09-04,KY-E,Sixth Circuit,2001-12-07
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2001-12-07
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2001-12-07
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2001-12-07
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2001-12-07
"Turner, Jerome",Deceased,2000-02-12,,,TN-W,Sixth Circuit,2001-12-07
"Lindberg, George W.",Senior,2001-06-21,,,IL-N,Seventh Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,,,WI-E,Seventh Circuit,2001-12-07
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2001-12-07
"Fagg, George",Senior,1999-05-01,"Melloy, Michael J.",2001-09-04,CCA,Eighth Circuit,2001-12-07
"Wolle, Charles R.",Senior,2001-10-16,"Gritzner, James E.",2001-09-04,IA-S,Eighth Circuit,2001-12-07
"Gunn, George F. Jr.",Senior,1996-12-01,,,MO-E,Eighth Circuit,2001-12-07
"Bartlett, D. Brook",Deceased,2000-01-21,,,MO-W,Eighth Circuit,2001-12-07
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2001-12-07
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2001-12-07
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2001-12-07
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2001-12-07
"Holland, H. Russel",Senior,2001-09-18,"Beistline, Ralph B.",2001-11-07,AK,Ninth Circuit,2001-12-07
PL 106-113,New Position,1999-11-29,"Jorgenson, Cindy K.",2001-09-10,AZ,Ninth Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,"Bury, David C.",2001-09-10,AZ,Ninth Circuit,2001-12-07
"Strand, Roger G.",Senior,2000-04-28,"Martone, Frederick J.",2001-09-10,AZ,Ninth Circuit,2001-12-07
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2001-12-07
"Karlton, Lawrence K.",Senior,2000-05-27,,,CA-E,Ninth Circuit,2001-12-07
"Davies, John G.",Retired,1998-07-18,,,CA-C,Ninth Circuit,2001-12-07
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2001-12-07
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2001-12-07
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2001-12-07
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2001-12-07
"Wardlaw, Kim McLane",Elevated,1998-07-31,,,CA-C,Ninth Circuit,2001-12-07
"Kay, Alan C.",Senior,2000-01-01,,,HI,Ninth Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,"Mahan, James C.",2001-09-10,NV,Ninth Circuit,2001-12-07
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2001-12-07
"Bryan, Robert J.",Senior,2000-11-01,,,WA-W,Ninth Circuit,2001-12-07
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2001-12-07
"Brorby, Wade",Senior,2001-05-25,"O'Brien, Terrence L.",2001-09-04,CCA,Tenth Circuit,2001-12-07
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2001-12-07
"Sparr, Daniel B.",Senior,2001-05-01,"Krieger, Marcia S.",2001-09-10,CO,Tenth Circuit,2001-12-07
"Weinshienk, Zita L.",Senior,1998-04-03,"Blackburn, Robert E.",2001-09-10,CO,Tenth Circuit,2001-12-07
"Van Bebber, G. Thomas",Senior,2000-12-31,"Robinson, Julie A.",2001-09-10,KS,Tenth Circuit,2001-12-07
"Conway, John Edwards",Senior,2000-09-01,"Johnson, William P.",2001-09-04,NM,Tenth Circuit,2001-12-07
"Sam, David",Senior,1999-11-01,"Cassell, Paul G",2001-09-04,UT,Tenth Circuit,2001-12-07
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2001-12-07
"Howard, Alex T. Jr.",Senior,1996-10-21,"Granade, Callie V.",2001-09-04,AL-S,Eleventh Circuit,2001-12-07
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2001-12-07
PL 106-113,New Position,1999-11-29,,,FL-M,Eleventh Circuit,2001-12-07
"Davis, Edward",Senior,2000-07-01,,,FL-S,Eleventh Circuit,2001-12-07
PL 106-553,New Position,2000-12-15,,,FL-S,Eleventh Circuit,2001-12-07
"Elliott, J. Robert",Retired,2000-12-31,"Land, Clay D.",2001-09-21,GA-M,Eleventh Circuit,2001-12-07
"Fitzpatrick, Duross",Senior,2001-02-01,"Royal, C. Ashley",2001-10-09,GA-M,Eleventh Circuit,2001-12-07
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2001-12-07
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2001-12-07
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2001-12-07
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2001-12-07
"Harris, Stanley S.",Senior,1996-02-01,"Bates, John D.",2001-09-04,DC,District of Columbia Circuit,2001-12-07
"Johnson, Norma H.",Senior,2001-06-18,"Leon, Richard J.",2001-09-10,DC,District of Columbia Circuit,2001-12-07
"Goldberg, Richard",Senior,2001-04-02,,,USIT,International Trade,2001-12-07
