Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,"Walter, Donald E.",,LA-W,Fifth Circuit,1985-06-01,5/15/1985
PL 98-353,New Position,1984-07-10,,,MS-N,Fifth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,MS-S,Fifth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,MS-S,Fifth Circuit,1985-06-01,
"Hill, Robert M.",Elevated,1984-07-20,,,TX-N,Fifth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,TX-N,Fifth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,TX-E,Fifth Circuit,1985-06-01,
"Cire, George E.",Deceased,1985-05-03,,,TX-S,Fifth Circuit,1985-06-01,
"O'Conor, Jr. Robert",Resigned,1984-09-30,,,TX-S,Fifth Circuit,1985-06-01,
"Edwards, George",Retired,1985-01-15,,,CCA,Sixth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1985-06-01,
"Joiner, Charles W.",Retired,1984-08-15,,,MI-E,Sixth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,MI-E,Sixth Circuit,1985-06-01,
"Duncan, Robert M.",Resigned,1985-04-15,,,OH-S,Sixth Circuit,1985-06-01,
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,TN-W,Sixth Circuit,1985-06-01,
"Pell, Wilbur F.",Retired,1984-07-31,,,CCA,Seventh Circuit,1985-06-01,
"McMillen, Thomas R.",Retired,1984-12-31,,,IL-N,Seventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,IL-N,Seventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,IL-N,Seventh Circuit,1985-06-01,
"Ackerman, J. Waldo",Deceased,1984-11-23,,,IL-C,Seventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,IL-S,Seventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,IN-N,Seventh Circuit,1985-06-01,
"Bright, Myron H.",Retired,1985-06-01,,,CCA,Eighth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Eighth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,AR-W,Eighth Circuit,1985-06-01,
"McManus, Edward J.",Retired,1985-02-09,,,IA-N,Eighth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,MN,Eighth Circuit,1985-06-01,
"Schatz, Albert G.",Deceased,1985-04-30,,,NE,Eighth Circuit,1985-06-01,
"Van Sickle, Bruce",Retired,1985-02-28,,,ND,Eighth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,AK,Ninth Circuit,1985-06-01,
"Cordova, Valdemar",Disabled,1984-04-20,"Broomfield, Robert C.",,AZ,Ninth Circuit,1985-06-01,5/15/1985
"Muecke, C.A.",Retired,1984-11-30,,,AZ,Ninth Circuit,1985-06-01,
"Hall, Cynthia Holcolm",Elevated,1984-10-04,,,CA-C,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CA-C,Ninth Circuit,1985-06-01,
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,HI,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,WA-E,Ninth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,WA-W,Ninth Circuit,1985-06-01,
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,Tenth Circuit,1985-06-01,
"Seth, Oliver",Retired,1984-12-25,,,CCA,Tenth Circuit,1985-06-01,
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,"Alley, Wayne E.",,OK-W,Tenth Circuit,1985-06-01,5/29/1985
"Anderson, Aldon J.",Retired,1984-12-20,,,UT,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,WY,Tenth Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,AL-S,Eleventh Circuit,1985-06-01,
"Reed, John A.",Resigned,1985-01-01,,,FL-M,Eleventh Circuit,1985-06-01,
"Eaton, Joe",Retired,1985-04-02,,,FL-S,Eleventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,FL-S,Eleventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,FL-S,Eleventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,FL-S,Eleventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,GA-M,Eleventh Circuit,1985-06-01,
PL 98-353,New Position,1984-07-10,,,CCA,District of Columbia Circuit,1985-06-01,
"Wilkey, Malcolm",Retired,1984-12-06,,,CCA,District of Columbia Circuit,1985-06-01,
"Flannery, Thomas A.",Retired,1985-05-10,,,DC,District of Columbia Circuit,1985-06-01,
"Green, June L.",Retired,1984-01-15,"Sporkin, Stanley",,DC,District of Columbia Circuit,1985-06-01,4/5/1985
"Boe, Nils A.",Retired,1984-04-30,,,USIT,International Trade,1985-06-01,
