Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination Date,Nomination,Circuit,CT,date
"Duggan, Patrick J.",Senior,2000-09-29,"Ryan, Daniel P.",4/28/2003,,MI-E,Sixth Circuit,2004-01-23
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",1/7/2003,,MI-E,Sixth Circuit,2004-01-23
"Leinenweber, Harry D.",Senior,2002-06-03,"Filip, Mark R.",4/28/2003,,IL-N,Seventh Circuit,2004-01-23
"Bowman, Pasco M.",Senior,2003-08-01,"Gruender, Raymond W. 9/29/2003",,,CCA,Eighth Circuit,2004-01-23
"McMillian, Theodore",Senior,2003-07-01,,,,CCA,Eighth Circuit,2004-01-23
"Reasoner, Stephen M.",Senior,2002-09-19,"Holmes, J. Leon",1/29/2003,,AR-E,Eighth Circuit,2004-01-23
"Browning, James R.",Senior,2000-09-01,"Kuhl, Carolyn B.",1/7/2003,,CCA,Ninth Circuit,2004-01-23
"Nelson, Thomas",Senior,2003-11-14,"Myers, William III",5/15/2003,,CCA,Ninth Circuit,2004-01-23
"Rosenblatt, Paul G.",Senior,2003-10-30,"Wake, Neil Vincent",10/22/2003,,AZ,Ninth Circuit,2004-01-23
PL 107-273,New Position,2003-07-15,"Benitez, Roger T.",5/1/2003,,CA-S,Ninth Circuit,2004-01-23
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",1/7/2003,,HI,Ninth Circuit,2004-01-23
"28 USC 133 (per Barbara Rothstein, FJC Director)",FJC Director,2003-09-08,"Martinez, Ricardo S.",10/14/2003,,WA-W,Ninth Circuit,2004-01-23
"Zilly, Thomas S.",Senior,2004-01-01,"Robart, James L.",12/9/2003,,WA-W,Ninth Circuit,2004-01-23
"Parker, James A.",Senior,2003-09-01,"Herrera, Judith C.",9/23/2003,,NM,Tenth Circuit,2004-01-23
"Cox, Emmett Ripley",Senior,2000-12-18,"Pryor, William H. Jr.",4/9/2003,,CCA,Eleventh Circuit,2004-01-23
"Nelson, Edwin L.",Deceased,2003-05-17,"Hopkins, Virginia E.",10/14/2003,,AL-N,Eleventh Circuit,2004-01-23
"Nimmons, Ralph W.",Deceased,2003-11-24,,,,FL-M,Eleventh Circuit,2004-01-23
"Ferguson, Wilkie D. Jr.",Deceased,2003-06-09,"Cooke, Marcia G.",11/25/2003,,FL-S,Eleventh Circuit,2004-01-23
"Silberman, Laurence H.",Senior,2000-11-01,"Kavanaugh, Brett M.",7/25/2003,,CCA,District of Columbia Circuit,2004-01-23
"Wald, Patricia M.",Retired,1999-11-16,,,,CCA,District of Columbia Circuit,2004-01-23
"Williams, Stephen F.",Senior,2001-09-30,"Brown, Janice R.",7/25/2003,,CCA,District of Columbia Circuit,2004-01-23
