Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination Date,Nomination,Circuit,CT,date
"Jones, Robert E.",Senior,2000-05-01,"Mosman, Michael W.",5/8/2003,,OR,Ninth Circuit,2003-09-01
"Matsch, Robert",Senior,2003-07-01,"Figa, Phillip S.",6/9/2003,,CO,Tenth Circuit,2003-09-01
"Parker, James A.",Senior,2003-09-01,,,,NM,Tenth Circuit,2003-09-01
"Cox, Emmett Ripley",Senior,2000-12-18,"Pryor, William H. Jr",4/9/2003,,CCA,Eleventh Circuit,2003-09-01
"Nelson, Edwin L.",Deceased,2003-05-17,,,,AL-N,Eleventh Circuit,2003-09-01
PL 107-273,New Position,2003-07-15,"Proctor, R. David",5/1/2003,,AL-N,Eleventh Circuit,2003-09-01
"Ferguson, Wilkie D. Jr.",Deceased,2003-06-09,,,,FL-S,Eleventh Circuit,2003-09-01
"Silberman, Laurence H.",Senior,2000-11-01,"Kavanaugh, Brett M.",7/25/2003,,CCA,District of Columbia Circuit,2003-09-01
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",1/7/2003,,CCA,District of Columbia Circuit,2003-09-01
"Williams, Stephen F.",Senior,2001-09-30,"Brown, Janice R.",7/25/2003,,CCA,District of Columbia Circuit,2003-09-01
